import time: self [us] | cumulative | imported package
import time:       231 |        231 | winreg
import time:       402 |        402 |   _io
import time:        63 |         63 |   marshal
import time:       297 |        297 |   nt
import time:      1229 |       1989 | _frozen_importlib_external
import time:      1281 |       1281 |   time
import time:       413 |       1694 | zipimport
import time:       121 |        121 |     _codecs
import time:      2003 |       2123 |   codecs
import time:      1473 |       1473 |   encodings.aliases
import time:       537 |        537 |   encodings._win_cp_codecs
import time:      2481 |       6613 | encodings
import time:       505 |        505 | encodings.utf_8
import time:       549 |        549 | encodings.cp1252
import time:        80 |         80 | _signal
import time:        62 |         62 |       _abc
import time:       236 |        298 |     abc
import time:        82 |         82 |       _stat
import time:       219 |        301 |     stat
import time:      1197 |       1197 |     _collections_abc
import time:       132 |        132 |       genericpath
import time:       137 |        137 |       _winapi
import time:       300 |        569 |     ntpath
import time:       666 |       3029 |   os
import time:       145 |        145 |   _sitebuiltins
import time:        82 |         82 |   errno
import time:      1386 |       1386 |   sitecustomize
import time:       364 |        364 |   usercustomize
import time:      1391 |       6395 | site
import time:       319 |        319 |   io
import time:       248 |        248 |         itertools
import time:      1272 |       1272 |         keyword
import time:       100 |        100 |           _operator
import time:      1301 |       1401 |         operator
import time:       548 |        548 |         reprlib
import time:        97 |         97 |         _collections
import time:      1510 |       5074 |       collections
import time:        57 |         57 |         _types
import time:       639 |        695 |       types
import time:        79 |         79 |       _functools
import time:      1318 |       7164 |     functools
import time:        69 |         69 |     _locale
import time:      2164 |       9396 |   locale
import time:      2165 |       2165 |     enum
import time:      1143 |       3308 |   signal
import time:        53 |         53 |     _contextvars
import time:       532 |        532 |     _weakrefset
import time:      1184 |       1768 |   threading
import time:       691 |        691 |     _py_warnings
import time:       521 |       1212 |   warnings
import time:       990 |        990 |   contextlib
import time:       381 |        381 |   fcntl
import time:       120 |        120 |   msvcrt
import time:      2645 |      20135 | subprocess
2026-05-06 21:50:52.711 Port 8501 is not available
